,ts_code,symbol,name
697,002239.SZ,002239,奥特佳
698,002240.SZ,002240,威华股份
699,002241.SZ,002241,歌尔股份
700,002242.SZ,002242,九阳股份
701,002243.SZ,002243,通产丽星
702,002244.SZ,002244,滨江集团
703,002245.SZ,002245,澳洋顺昌
704,002246.SZ,002246,北化股份
705,002247.SZ,002247,聚力文化
706,002248.SZ,002248,华东数控
707,002249.SZ,002249,大洋电机
708,002250.SZ,002250,联化科技
709,002251.SZ,002251,步步高
710,002252.SZ,002252,上海莱士
711,002253.SZ,002253,川大智胜
712,002254.SZ,002254,泰和新材
713,002255.SZ,002255,海陆重工
714,002256.SZ,002256,兆新股份
715,002258.SZ,002258,利尔化学
716,002259.SZ,002259,*ST升达
717,002261.SZ,002261,拓维信息
718,002262.SZ,002262,恩华药业
719,002263.SZ,002263,*ST东南
720,002264.SZ,002264,新华都
721,002265.SZ,002265,西仪股份
722,002266.SZ,002266,浙富控股
723,002267.SZ,002267,陕天然气
724,002268.SZ,002268,卫士通
725,002269.SZ,002269,美邦服饰
726,002270.SZ,002270,华明装备
727,002271.SZ,002271,东方雨虹
728,002272.SZ,002272,川润股份
729,002273.SZ,002273,水晶光电
730,002274.SZ,002274,华昌化工
731,002275.SZ,002275,桂林三金
732,002276.SZ,002276,万马股份
733,002277.SZ,002277,友阿股份
734,002278.SZ,002278,神开股份
735,002279.SZ,002279,久其软件
736,002280.SZ,002280,联络互动
737,002281.SZ,002281,光迅科技
738,002282.SZ,002282,博深工具
739,002283.SZ,002283,天润曲轴
740,002284.SZ,002284,亚太股份
741,002285.SZ,002285,世联行
742,002286.SZ,002286,保龄宝
743,002287.SZ,002287,奇正藏药
744,002288.SZ,002288,超华科技
745,002289.SZ,002289,*ST宇顺
746,002290.SZ,002290,*ST中科
747,002291.SZ,002291,星期六
748,002292.SZ,002292,奥飞娱乐
749,002293.SZ,002293,罗莱生活
750,002294.SZ,002294,信立泰
751,002295.SZ,002295,精艺股份
752,002296.SZ,002296,辉煌科技
753,002297.SZ,002297,博云新材
754,002298.SZ,002298,中电兴发
755,002299.SZ,002299,圣农发展
756,002300.SZ,002300,太阳电缆
757,002301.SZ,002301,齐心集团
758,002302.SZ,002302,西部建设
759,002303.SZ,002303,美盈森
760,002304.SZ,002304,洋河股份
761,002305.SZ,002305,南国置业
762,002306.SZ,002306,*ST云网
763,002307.SZ,002307,北新路桥
764,002308.SZ,002308,威创股份
765,002309.SZ,002309,中利集团
766,002310.SZ,002310,东方园林
767,002311.SZ,002311,海大集团
768,002312.SZ,002312,三泰控股
769,002313.SZ,002313,日海智能
770,002314.SZ,002314,南山控股
771,002315.SZ,002315,焦点科技
772,002316.SZ,002316,亚联发展
773,002317.SZ,002317,众生药业
774,002318.SZ,002318,久立特材
775,002319.SZ,002319,乐通股份
776,002320.SZ,002320,海峡股份
777,002321.SZ,002321,华英农业
778,002322.SZ,002322,理工环科
